X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
638976.1800000003,7978489.58,0.014943999999999999,0.17,1.95,0.87,1.69,8.24,21.22,0.39,1416.27,10623.0,10403.0,10914.0,19459.0,16676.0,6
638663.6800000003,7982302.08,0.005986,0.57,4.69,1.28,3.35,1.99,6.4,0.31,1432.91,9610.0,9262.0,9637.0,17890.0,15065.0,6
636101.18,7971364.559999998,0.024393,2.82,22.34,8.22,15.37,3.19,10.21,0.32,1289.8,8213.0,7756.0,6950.0,10361.0,7451.0,2
637663.6800000003,7973677.07,0.041908,3.06,15.51,5.16,10.49,3.09,9.03,0.31,1405.71,9737.0,9790.0,10354.0,16976.0,12886.0,4
636288.6800000003,7970927.06,0.024977000000000003,1.11,28.33,9.009149999999991,16.07,6.05,19.27,0.29,1279.39,8749.0,8682.0,8767.0,16251.0,11607.0,2
636601.1800000003,7970927.06,0.01636,0.85,20.83,8.72,13.5,5.1,14.68,0.36,1270.34,9850.0,10424.0,11649.0,21578.0,15837.0,1
637788.6800000003,7976927.070000001,0.043933,1.49,24.92,5.15,13.21,3.02,14.4,0.22,1373.05,8106.0,7588.0,6736.0,10591.0,7417.0,2
637226.1800000003,7975927.070000001,0.044877999999999994,0.48,15.07,5.38,9.13,5.03,16.66,0.3,1357.27,9260.0,8969.0,9499.0,16867.0,13261.0,2
636726.1800000003,7977989.57,0.086289,0.10203459449991208,8.7,3.67,4.73,17.22,35.9,0.53,1401.22,8746.0,8345.0,8568.0,15995.0,11468.0,4
638726.1800000003,7978677.08,0.008662999999999999,0.46,2.65,0.73,1.65,5.16,8.79,0.57,1425.77,9334.0,9056.0,9707.0,16581.0,13476.0,6
638601.1800000003,7978552.08,0.008727,0.28,2.26,0.88,1.5,5.45,8.07,0.63,1420.36,9978.0,9704.0,10177.0,19121.0,15722.0,6
639226.1800000003,7978052.07,0.022414,0.14,8.06,2.55,4.58,19.53,77.9,0.21,1414.0,8474.0,7945.0,7843.0,13651.0,10270.0,6
637851.1800000003,7977177.07,0.08054299999999999,1.85,21.07,4.95,11.67,3.24,14.75,0.22,1360.58,10275.0,11068.0,13007.0,21126.0,15756.0,2
636476.1800000003,7970864.559999998,0.028972,0.71,27.07,9.009149999999991,14.72,6.21,19.13,0.32,1273.19,8826.0,8812.0,9295.0,14880.0,11008.0,1
635788.6800000003,7971552.059999998,0.017335,1.69,23.24,6.34,14.02,3.17,10.62,0.29,1313.06,8903.0,8365.0,8511.0,13902.0,10326.0,2
635913.6800000003,7976364.57,0.024,0.42,3.34,2.78,3.44,6.27,8.74,0.69,1318.49,9727.0,10063.0,11003.0,17935.0,14718.0,4
634163.6800000003,7971927.070000001,0.041842000000000004,0.3,2.43,2.33,2.5,5.62,11.71,0.42,1249.87,8968.0,8323.0,8301.0,15055.0,11972.0,6
635788.6800000003,7979864.58,0.018104,0.27,6.09,2.68,5.41,6.89,27.02,0.37,1465.66,9717.0,10099.0,11051.0,18523.0,14930.0,3
638601.1800000003,7971802.059999999,0.10869300000000001,0.37,3.24,3.71,3.87,6.4,8.47,0.75,1345.58,9170.0,8936.0,9378.0,17366.0,13095.0,4
634163.6800000003,7971864.570000001,0.04018,0.39,2.91,2.13,2.64,5.01,11.05,0.39,1246.78,8915.0,8371.0,8407.0,14810.0,11285.0,6
634413.6800000003,7971864.570000001,0.052239,0.68,6.24,2.65,4.14,3.47,6.6,0.54,1261.23,8904.0,8665.0,9084.0,15592.0,11664.0,6
636976.1800000003,7978489.58,0.042399,0.65,8.7,3.33,5.45,7.58,15.27,0.49,1380.48,9619.0,9726.0,10449.0,19288.0,14476.0,3
636851.1800000003,7979677.080000001,0.008596,0.43,8.34,2.45,4.04,4.58,19.06,0.28,1466.98,9618.0,9165.0,9755.0,18553.0,15438.0,3
636538.68,7974302.0699999975,0.052782,0.76,2.7,1.4,3.3,3.03,5.79,0.57,1384.8,9542.0,9543.0,10134.0,19374.0,14743.0,4
638726.1800000003,7981864.58,0.017343,0.96,4.58,1.47,3.77,2.62,5.7,0.44,1436.17,9782.0,9466.0,9832.0,17952.0,14602.0,4
637288.6800000003,7979614.579999999,0.014513999999999999,0.7,2.35,2.18,4.19,4.21,11.44,0.48,1432.66,9751.0,9698.0,10124.0,18767.0,15166.0,3
636601.1800000003,7979427.079999999,0.012727,0.79,3.74,1.34,3.22,3.22,7.67,0.42,1445.71,9390.0,8995.0,9306.0,15678.0,11912.0,3
639226.1800000003,7977677.07,0.045994,0.10203459449991208,15.86,3.34,6.6,23.55,104.35,0.2,1419.27,8796.0,8582.0,9065.0,16018.0,12121.0,5
638726.1800000003,7972052.07,0.079432,0.10203459449991208,2.8,3.26,3.33,11.01,16.38,0.66,1349.55,10829.0,10596.0,11314.0,19549.0,16963.0,4
638101.18,7977052.07,0.064194,0.73,9.49,3.61,6.42,3.83,11.4,0.34,1376.91,8662.0,8433.0,8734.0,14871.0,10989.0,3
635038.68,7971802.0699999975,0.05335,3.36,7.68,4.15,9.64,1.48,2.82,0.51,1345.2600000000002,8895.0,8518.0,8862.0,14494.0,10891.0,5
636476.1800000003,7970802.059999998,0.036844,0.67,26.91,9.009149999999991,14.59,6.31,19.25,0.32,1270.04,9651.0,9912.0,10921.0,20421.0,14510.0,1
636226.1800000003,7972614.570000001,0.048679,2.18,15.23,7.05,11.97,2.39,5.74,0.42,1342.33,8764.0,8324.0,8756.0,14594.0,11044.0,2
639163.6800000003,7977802.0699999975,0.006920999999999999,0.10203459449991208,18.44,3.18,6.99,20.94,98.52,0.18,1418.48,8772.0,8570.0,9181.0,15805.0,11834.0,6
637413.6800000003,7983177.080000001,0.007121,0.8,5.32,2.17,4.09,2.73,8.949999999999998,0.3,1396.06,9592.0,9119.0,9402.0,19181.0,15575.0,5
637288.6800000003,7978677.08,0.011351,0.72,8.960000000000003,2.77,6.19,5.32,13.33,0.43,1392.3,8852.0,8427.0,8613.0,17049.0,12825.0,3
