X,Y,MISS_DUMMY,MISS_MLR,MISS_DT,MISS_GNB,MISS_KNN,MISS_SVM,MISS_RF,MISS_XGB,MISS_MLP
638226.180,7975864.570,0,0,0,0,0,0,0,0,0
637726.180,7977552.070,0,0,0,0,0,0,0,0,0
636476.180,7970739.560,0,0,0,0,0,0,0,0,0
636601.180,7979427.080,0,0,0,0,0,0,0,0,0
637351.180,7976114.570,0,0,0,0,0,0,0,0,0
637788.680,7979614.580,0,0,0,0,0,0,0,0,0
636538.680,7970052.060,0,0,0,0,0,0,0,0,0
639788.680,7981739.580,0,0,0,0,0,0,0,0,0
635851.180,7980114.580,0,0,0,0,0,0,0,0,0
637226.180,7978489.580,0,0,0,0,0,0,0,0,0
636413.680,7971864.570,0,0,0,0,0,0,0,0,0
639976.190,7981177.080,0,0,0,0,0,0,0,0,0
634163.680,7971864.570,0,0,0,0,0,0,0,0,0
636601.180,7970177.060,0,0,0,0,0,0,0,0,0
636288.680,7970927.060,0,0,0,0,0,0,0,0,0
637288.680,7974802.070,0,0,0,0,0,0,0,0,0
638726.180,7971989.570,0,0,0,0,0,0,0,0,0
639038.680,7978739.580,0,0,0,0,0,0,0,0,0
635726.180,7971114.560,0,0,0,0,0,0,0,0,0
638351.180,7980989.580,0,0,0,0,0,0,0,0,0
636788.680,7979177.080,0,0,0,0,0,0,0,0,0
638913.680,7978739.580,0,0,0,0,0,0,0,0,0
637726.180,7975927.070,0,0,0,0,0,0,0,0,0
636226.180,7970614.560,0,0,0,0,0,0,0,0,0
635351.180,7971302.060,0,0,0,0,0,0,0,0,0
636476.180,7971489.560,0,0,0,0,0,0,0,0,0
637351.180,7976552.070,0,0,0,0,0,0,0,0,0
637663.680,7973677.070,0,0,0,0,0,0,0,0,0
636601.180,7971364.560,0,0,0,0,0,0,0,0,0
638913.680,7977802.070,0,0,0,0,0,0,0,0,0
638351.180,7976864.570,0,0,0,0,0,0,0,0,0
637163.680,7978989.580,0,0,0,0,0,0,0,0,0
634163.680,7971989.570,0,0,0,0,0,0,0,0,0
636351.180,7971802.070,0,0,0,0,0,0,0,0,0
637101.180,7976364.570,0,0,0,0,0,0,0,0,0
636413.680,7972614.570,0,0,0,0,0,0,0,0,0
638788.680,7978239.570,0,0,0,0,0,0,0,0,0
638601.180,7971802.060,0,0,0,0,0,0,0,0,0
638288.680,7978802.080,0,0,0,0,0,0,0,0,0
635788.680,7969864.560,0,0,0,0,0,0,0,0,0
637538.680,7972739.570,0,0,0,0,0,0,0,0,0
637788.680,7974114.570,0,0,0,0,0,0,0,0,0
636913.680,7979427.080,0,0,0,0,0,0,0,0,0
638726.180,7981864.580,0,0,0,0,0,0,0,0,0
639851.180,7980427.080,0,0,0,0,0,0,0,0,0
639226.180,7978927.080,0,0,0,0,0,0,0,0,0
636163.680,7971739.570,0,0,0,0,0,0,0,0,0
638726.180,7972052.070,0,0,0,0,0,0,0,0,0
639351.180,7980364.580,0,0,0,0,0,0,0,0,0
636476.180,7979364.580,0,0,0,0,0,0,0,0,0
638163.680,7975989.570,0,0,0,0,0,0,0,0,0
634476.180,7970427.060,0,0,0,0,0,0,0,0,0
638101.180,7982989.580,0,0,0,0,0,0,0,0,0
637601.180,7980364.580,0,0,0,0,0,0,0,0,0
639976.190,7982489.580,0,0,0,0,0,0,0,0,0
639163.680,7978739.580,0,0,0,0,0,0,0,0,0
636601.180,7970927.060,0,0,0,0,0,0,0,0,0
637788.680,7977302.070,0,0,0,0,0,0,0,0,0
637788.680,7979802.080,0,0,0,0,0,0,0,0,0
635851.180,7969989.560,0,0,0,0,0,0,0,0,0
636538.680,7971239.560,0,0,0,0,0,0,0,0,0
638101.180,7977927.070,0,0,0,0,0,0,0,0,0
634163.680,7972052.070,0,0,0,0,0,0,0,0,0
638163.680,7980177.080,0,0,0,0,0,0,0,0,0
636413.680,7970739.560,0,0,0,0,0,0,0,0,0
635476.180,7969614.560,0,0,0,0,0,0,0,0,0
639163.680,7977802.070,0,0,0,0,0,0,0,0,0
634413.680,7971989.570,0,0,0,0,0,0,0,0,0
636538.680,7971364.560,0,0,0,0,0,0,0,0,0
638663.680,7980052.080,0,0,0,0,0,0,0,0,0
637163.680,7979864.580,0,0,0,0,0,0,0,0,0
634226.180,7971489.560,0,0,0,0,0,0,0,0,0
638538.680,7976802.070,0,0,0,0,0,0,0,0,0
635038.680,7969302.060,0,0,0,0,0,0,0,0,0
637788.680,7975552.070,0,0,0,0,0,0,0,0,0
637788.680,7981302.080,0,0,0,0,0,0,0,0,0
639851.180,7980864.580,0,0,0,0,0,0,0,0,0
638976.180,7978239.570,0,0,0,0,0,0,0,0,0
637726.180,7973739.570,0,0,0,0,0,0,0,0,0
638538.680,7976614.570,0,0,0,0,0,0,0,0,0
636851.180,7977552.070,0,0,0,0,0,0,0,0,0
638101.180,7976364.570,0,0,0,0,0,0,0,0,0
638851.180,7982864.580,0,0,0,0,0,0,0,0,0
636288.680,7969802.060,0,0,0,0,0,0,0,0,0
638288.680,7977364.570,0,0,0,0,0,0,0,0,0
635163.680,7971302.060,0,0,0,0,0,0,0,0,0
638726.180,7973614.570,0,0,0,0,0,0,0,0,0
639226.180,7974114.570,0,0,0,0,0,0,0,0,0
637038.680,7978614.580,0,0,0,0,0,0,0,0,0
636913.680,7980052.080,0,0,0,0,0,0,0,0,0
637913.680,7982864.580,0,0,0,0,0,0,0,0,0
637788.680,7978739.580,0,0,0,0,0,0,0,0,0
638976.180,7972364.570,0,0,0,0,0,0,0,0,0
