X,Y,ENTROPY
638601.180,7979302.080,0.730
637538.680,7978614.580,0.070
638726.180,7974427.070,0.687
638601.180,7980239.580,0.468
636038.680,7978864.580,0.304
637038.680,7978677.080,1.198
635976.180,7973802.070,0.429
638851.180,7972177.070,0.192
636351.180,7979489.580,0.038
638913.680,7978239.570,0.632
635788.680,7978677.080,0.870
637851.180,7972052.070,0.289
639913.690,7981989.580,0.227
637726.180,7978989.580,0.050
635851.180,7970177.060,0.064
638288.680,7974927.070,0.890
637538.680,7978239.580,0.035
636351.180,7976114.570,0.175
638038.680,7976552.070,0.680
636601.180,7975427.070,0.551
637476.180,7977052.070,0.125
636538.680,7974302.070,0.710
634413.680,7971052.060,0.570
635476.180,7971489.560,0.130
638976.180,7980177.080,1.064
640038.690,7982739.580,0.546
638913.680,7980239.580,0.361
636976.180,7977989.570,0.207
636413.680,7979364.580,0.563
638976.180,7973052.070,0.948
638226.180,7973052.070,1.041
637913.680,7974239.570,0.978
635976.180,7974114.570,1.329
637288.680,7976552.070,0.049
636976.180,7973552.070,0.210
638413.680,7979927.080,0.361
637851.180,7975239.570,1.072
639101.180,7978989.580,0.859
636663.680,7974927.070,0.072
636913.680,7975364.570,0.038
636226.180,7970739.560,0.121
638476.180,7971739.560,0.077
638226.180,7977802.070,0.865
635601.180,7971114.560,0.241
636976.180,7978739.580,0.803
636538.680,7973614.570,0.158
635913.680,7970302.060,0.621
634288.680,7971177.060,0.541
638413.680,7978427.080,0.224
635163.680,7972052.070,0.321
637726.180,7980239.580,0.313
636851.180,7975989.570,0.645
637101.180,7972239.570,0.195
637726.180,7975114.570,0.134
639163.680,7973927.070,0.814
638538.680,7973177.070,1.219
637288.680,7975552.070,0.246
637663.680,7982364.580,0.802
637038.680,7977052.070,0.133
638288.680,7981427.080,0.700
635413.680,7969927.060,0.582
635913.680,7971989.570,0.613
635726.180,7978239.580,0.358
635851.180,7970302.060,0.234
636538.680,7974489.570,0.900
639163.680,7972677.070,1.101
638663.680,7982052.080,1.427
636101.180,7971177.060,0.334
637976.180,7977802.070,1.494
639038.680,7981739.580,0.074
636601.180,7970239.560,0.213
636413.680,7977739.570,0.455
636601.180,7979489.580,0.095
636726.180,7978989.580,0.714
636351.180,7971302.060,0.276
636851.180,7976614.570,0.171
638726.180,7981552.080,0.521
636038.680,7978552.080,0.624
638726.180,7977614.570,1.200
637226.180,7977239.570,0.044
639288.680,7973177.070,0.759
638413.680,7973114.570,1.294
634601.180,7972052.070,0.046
638976.180,7972302.070,0.188
635101.180,7970489.560,0.937
635601.180,7969052.060,0.509
637851.180,7974177.070,0.482
636163.680,7977177.070,0.178
637038.680,7972489.570,0.441
638851.180,7972302.070,0.454
637288.680,7978364.580,0.350
638476.180,7982677.080,0.980
636226.180,7978364.580,0.941
636351.180,7977927.070,0.616
637851.180,7972927.070,0.948
636601.180,7974427.070,1.063
637976.180,7979052.080,0.789
637538.680,7983114.580,0.110
