X,Y,ENTROPY
636038.680,7970677.060,1.051
636538.680,7971927.070,1.142
635788.680,7972052.070,0.287
638163.680,7981927.080,1.302
637413.680,7981489.580,0.634
636663.680,7976239.570,0.713
634788.680,7971364.560,1.356
638163.680,7982739.580,1.675
638413.680,7977052.070,0.733
636601.180,7979364.580,1.332
635976.180,7976114.570,1.239
636663.680,7976614.570,0.460
637976.180,7983177.080,1.171
637476.180,7980927.080,1.224
635726.180,7973864.570,0.625
637476.180,7971864.570,0.788
636288.680,7976677.070,0.282
636663.680,7976989.570,0.129
636413.680,7976614.570,0.247
638476.180,7975364.570,0.509
638038.680,7976302.070,0.606
637413.680,7978052.070,1.230
636163.680,7976489.570,0.570
639601.180,7981739.580,1.332
637601.180,7977864.570,0.061
636663.680,7972739.570,1.265
635851.180,7970552.060,0.433
636851.180,7975114.570,0.249
634538.680,7971302.060,1.443
637163.680,7974677.070,0.374
636038.680,7973302.070,1.183
638226.180,7981989.580,1.263
638413.680,7975177.070,1.029
637538.680,7982239.580,0.844
638226.180,7972552.070,0.525
638351.180,7977677.070,1.629
638101.180,7971614.560,1.123
639038.680,7978614.580,0.144
638788.680,7980427.080,1.294
635288.680,7970364.560,0.568
639226.180,7975114.570,1.033
635663.680,7969239.560,1.275
636538.680,7970802.060,0.048
638288.680,7979864.580,0.648
638413.680,7979302.080,0.976
638726.180,7982802.080,1.036
639351.180,7981927.080,0.810
638038.680,7983239.580,1.087
635663.680,7971864.570,0.695
638788.680,7979114.580,1.168
637476.180,7981239.580,1.054
639476.180,7982239.580,0.556
638913.680,7979677.080,0.879
636913.680,7973927.070,1.050
636288.680,7969989.560,0.741
636601.180,7974052.070,0.950
636788.680,7972677.070,1.116
637663.680,7978427.080,0.212
636851.180,7977052.070,0.416
640038.690,7982677.080,0.951
637788.680,7978177.070,1.475
636163.680,7976114.570,0.608
636476.180,7976364.570,0.471
638163.680,7978552.080,0.868
637413.680,7975989.570,0.094
638351.180,7974177.070,1.041
636726.180,7977489.570,0.429
634976.180,7970989.560,1.016
636663.680,7976677.070,0.162
636726.180,7973239.570,0.405
635538.680,7973864.570,1.415
635976.180,7970489.560,0.964
637101.180,7975489.570,0.369
637788.680,7981802.080,1.543
637913.680,7971802.060,0.183
638913.680,7975177.070,1.038
636538.680,7972114.570,1.287
638101.180,7974427.070,0.653
634788.680,7971239.560,1.217
636101.180,7979677.080,0.148
637663.680,7981927.080,0.779
635851.180,7978239.580,1.175
639663.680,7980177.080,0.888
637538.680,7977552.070,0.018
637601.180,7972427.070,1.326
635788.680,7974677.070,0.844
638538.680,7980239.580,1.162
639351.180,7979927.080,0.892
635851.180,7977802.070,1.079
638788.680,7980677.080,0.661
636288.680,7978239.580,1.440
637538.680,7975239.570,0.430
638038.680,7971802.060,1.022
638663.680,7979364.580,1.224
638476.180,7975677.070,0.230
638163.680,7981177.080,1.463
637851.180,7974364.570,1.029
638601.180,7980927.080,1.589
634788.680,7972177.070,0.670
639163.680,7974489.570,1.206
636351.180,7979614.580,0.244
639726.180,7982864.580,0.629
636788.680,7974302.070,1.654
637351.180,7971927.070,1.157
639226.180,7971489.560,0.879
