X,Y,MAcgg,PP3csbg,PP34b,PP4esjc,PP4esb,PP4egm
636288.6800000003,7970552.059999998,1.0,0.0,0.0,0.0,0.0,0.0
640038.69,7980802.079999999,0.0,0.0,0.0,0.0,0.02,0.98
637101.18,7976364.57,0.0,0.94,0.04,0.0,0.02,0.0
637351.1800000003,7974302.0699999975,0.0,0.0,0.14,0.86,0.0,0.0
636538.68,7978927.079999999,0.0,0.0,0.9,0.1,0.0,0.0
639101.18,7981364.58,0.0,0.02,0.06,0.06,0.86,0.0
634351.1800000003,7971989.57,0.0,0.0,0.0,0.0,0.0,1.0
638163.6800000003,7976552.0699999975,0.0,0.02,0.82,0.02,0.12,0.02
638538.68,7975989.57,0.0,0.0,0.68,0.06,0.12,0.14
639351.1800000003,7980364.58,0.0,0.0,0.0,0.1,0.84,0.06
635788.6800000003,7970927.06,0.16,0.78,0.04,0.02,0.0,0.0
638788.6800000003,7978614.579999999,0.0,0.0,0.0,0.0,0.02,0.98
639726.1800000003,7980677.08,0.0,0.0,0.0,0.0,0.04,0.96
637226.1800000003,7977989.57,0.0,1.0,0.0,0.0,0.0,0.0
638851.1800000003,7978239.57,0.0,0.0,0.06,0.0,0.12,0.82
636913.6800000003,7978927.079999999,0.0,0.0,0.8,0.18,0.0,0.02
636538.68,7970052.059999999,0.02,0.86,0.0,0.06,0.06,0.0
636226.1800000003,7974364.57,0.0,0.0,0.12,0.86,0.0,0.02
638038.68,7973614.57,0.0,0.12,0.18,0.66,0.04,0.0
636601.1800000003,7971364.559999998,0.96,0.04,0.0,0.0,0.0,0.0
636788.6800000003,7975864.570000001,0.0,0.02,0.02,0.92,0.04,0.0
634226.1800000003,7971927.070000001,0.0,0.02,0.0,0.02,0.06,0.9
638726.1800000003,7978552.08,0.0,0.0,0.0,0.02,0.02,0.96
637288.6800000003,7979802.080000001,0.0,0.04,0.92,0.0,0.02,0.02
635538.68,7973552.0699999975,0.0,0.0,0.02,0.06,0.9,0.02
637351.1800000003,7971614.559999998,0.22,0.16,0.0,0.6,0.02,0.0
637851.1800000003,7974864.570000001,0.04,0.88,0.0,0.08,0.0,0.0
638913.6800000003,7978802.079999999,0.0,0.0,0.0,0.0,0.06,0.94
636288.6800000003,7979614.579999999,0.0,0.0,0.94,0.0,0.06,0.0
636538.68,7971177.06,1.0,0.0,0.0,0.0,0.0,0.0
636476.1800000003,7971677.06,0.98,0.02,0.0,0.0,0.0,0.0
634538.68,7971802.0699999975,0.0,0.0,0.0,0.04,0.1,0.86
638351.1800000003,7976177.07,0.0,0.0,0.96,0.04,0.0,0.0
636163.6800000003,7971552.059999998,0.06,0.9,0.0,0.04,0.0,0.0
636726.1800000003,7979677.080000001,0.0,0.02,0.94,0.0,0.02,0.02
636476.1800000003,7970989.56,1.0,0.0,0.0,0.0,0.0,0.0
637726.1800000003,7982239.58,0.0,0.0,0.06,0.14,0.78,0.02
