X,Y,RF
638913.6800000003,7982489.58,0
637538.68,7980177.080000001,0
638163.6800000003,7979114.58,0
638101.18,7976364.57,0
639351.1800000003,7982802.079999999,0
636163.6800000003,7980114.58,0
636663.6800000003,7979552.08,0
637476.1800000003,7981927.08,0
636101.18,7973927.070000001,0
637101.18,7978989.580000001,0
639226.1800000003,7972927.070000001,0
634476.1800000003,7971864.570000001,0
638851.1800000003,7973239.57,0
637913.6800000003,7977552.0699999975,0
638851.1800000003,7980239.58,0
637976.1800000003,7974177.07,0
636726.1800000003,7980052.08,0
638163.6800000003,7976302.0699999975,0
637476.1800000003,7973739.5699999975,0
639413.6800000003,7981864.58,0
638226.1800000003,7982552.08,0
639726.1800000003,7983052.08,0
638663.6800000003,7981489.58,0
638788.6800000003,7982114.58,0
638976.1800000003,7981989.580000001,0
636538.68,7971427.059999999,0
636226.1800000003,7970552.059999998,0
637226.1800000003,7978927.079999999,0
639038.68,7978239.57,0
638226.1800000003,7977177.07,0
637851.1800000003,7977802.0699999975,0
639913.6800000003,7980052.08,0
638851.1800000003,7981989.580000001,0
636538.68,7971552.059999998,0
640038.69,7980614.579999999,0
639851.19,7982427.079999999,0
636476.1800000003,7971302.059999999,0
637351.1800000003,7976552.0699999975,0
639163.6800000003,7978739.58,0
637288.6800000003,7977427.07,0
638976.1800000003,7980239.58,0
636413.6800000003,7971739.5699999975,0
639351.1800000003,7980739.58,0
635101.18,7970614.559999998,0
636038.68,7978864.579999999,0
637101.18,7979802.080000001,0
636163.6800000003,7977239.57,0
638601.1800000003,7981427.079999999,0
637663.6800000003,7979927.08,0
638038.68,7976177.07,0
636101.18,7971239.559999999,0
638226.1800000003,7980489.58,0
638663.6800000003,7982239.58,0
635538.68,7970239.559999999,0
636163.6800000003,7973364.57,0
635976.1800000003,7970239.559999999,0
638913.6800000003,7971677.06,0
637913.6800000003,7981302.08,0
637288.6800000003,7979427.079999999,0
637538.68,7972739.57,0
635351.1800000003,7969864.559999999,0
634476.1800000003,7972052.07,0
636476.1800000003,7971552.059999998,0
636038.68,7974052.07,0
639913.69,7982364.58,0
638413.6800000003,7975302.0699999975,0
637726.1800000003,7977364.57,0
637851.1800000003,7979052.08,0
637163.6800000003,7975614.57,0
637788.6800000003,7982177.080000001,0
636288.6800000003,7970552.059999998,0
640038.69,7980802.079999999,0
637101.18,7976364.57,0
637351.1800000003,7974302.0699999975,0
636538.68,7978927.079999999,0
639101.18,7981364.58,0
634351.1800000003,7971989.57,0
638163.6800000003,7976552.0699999975,0
638538.68,7975989.57,0
639351.1800000003,7980364.58,0
635788.6800000003,7970927.06,0
638788.6800000003,7978614.579999999,0
639726.1800000003,7980677.08,0
637226.1800000003,7977989.57,0
638851.1800000003,7978239.57,0
636913.6800000003,7978927.079999999,0
636538.68,7970052.059999999,0
