X,Y,MLR
638101.18,7976364.57,3
639351.1800000003,7982802.079999999,5
636163.6800000003,7980114.58,3
636663.6800000003,7979552.08,3
637476.1800000003,7981927.08,6
636101.18,7973927.070000001,6
637101.18,7978989.580000001,3
639226.1800000003,7972927.070000001,5
634476.1800000003,7971864.570000001,6
638851.1800000003,7973239.57,3
637913.6800000003,7977552.0699999975,5
638851.1800000003,7980239.58,5
637976.1800000003,7974177.07,2
636726.1800000003,7980052.08,3
638163.6800000003,7976302.0699999975,3
637476.1800000003,7973739.5699999975,4
639413.6800000003,7981864.58,5
638226.1800000003,7982552.08,3
639726.1800000003,7983052.08,5
638663.6800000003,7981489.58,3
638788.6800000003,7982114.58,5
638976.1800000003,7981989.580000001,5
636538.68,7971427.059999999,1
636226.1800000003,7970552.059999998,1
637226.1800000003,7978927.079999999,3
639038.68,7978239.57,6
638226.1800000003,7977177.07,5
637851.1800000003,7977802.0699999975,3
639913.6800000003,7980052.08,6
638851.1800000003,7981989.580000001,5
636538.68,7971552.059999998,1
640038.69,7980614.579999999,6
639851.19,7982427.079999999,6
636476.1800000003,7971302.059999999,1
637351.1800000003,7976552.0699999975,2
639163.6800000003,7978739.58,6
637288.6800000003,7977427.07,2
638976.1800000003,7980239.58,5
636413.6800000003,7971739.5699999975,1
639351.1800000003,7980739.58,4
635101.18,7970614.559999998,2
636038.68,7978864.579999999,3
637101.18,7979802.080000001,3
636163.6800000003,7977239.57,4
638601.1800000003,7981427.079999999,3
637663.6800000003,7979927.08,3
638038.68,7976177.07,2
636101.18,7971239.559999999,2
638226.1800000003,7980489.58,3
638663.6800000003,7982239.58,3
635538.68,7970239.559999999,2
636163.6800000003,7973364.57,4
635976.1800000003,7970239.559999999,2
638913.6800000003,7971677.06,5
637913.6800000003,7981302.08,3
637288.6800000003,7979427.079999999,3
637538.68,7972739.57,1
635351.1800000003,7969864.559999999,2
634476.1800000003,7972052.07,6
636476.1800000003,7971552.059999998,1
636038.68,7974052.07,6
639913.69,7982364.58,6
638413.6800000003,7975302.0699999975,2
637726.1800000003,7977364.57,2
637851.1800000003,7979052.08,2
637163.6800000003,7975614.57,4
637788.6800000003,7982177.080000001,6
636288.6800000003,7970552.059999998,1
640038.69,7980802.079999999,6
637101.18,7976364.57,2
637351.1800000003,7974302.0699999975,4
636538.68,7978927.079999999,3
639101.18,7981364.58,5
634351.1800000003,7971989.57,6
638163.6800000003,7976552.0699999975,5
638538.68,7975989.57,5
639351.1800000003,7980364.58,6
635788.6800000003,7970927.06,2
638788.6800000003,7978614.579999999,6
639726.1800000003,7980677.08,6
637226.1800000003,7977989.57,2
638851.1800000003,7978239.57,5
636913.6800000003,7978927.079999999,4
636538.68,7970052.059999999,2
636226.1800000003,7974364.57,6
638038.68,7973614.57,3
636601.1800000003,7971364.559999998,1
636788.6800000003,7975864.570000001,4
634226.1800000003,7971927.070000001,6
638726.1800000003,7978552.08,6
637288.6800000003,7979802.080000001,5
635538.68,7973552.0699999975,6
637351.1800000003,7971614.559999998,2
637851.1800000003,7974864.570000001,1
638913.6800000003,7978802.079999999,6
636288.6800000003,7979614.579999999,3
636538.68,7971177.06,1
636476.1800000003,7971677.06,1
634538.68,7971802.0699999975,5
638351.1800000003,7976177.07,3
636163.6800000003,7971552.059999998,1
636726.1800000003,7979677.080000001,3
636476.1800000003,7970989.56,1
637726.1800000003,7982239.58,6
634413.6800000003,7971302.059999999,5
636851.1800000003,7976552.0699999975,4
636726.1800000003,7973927.070000001,3
636226.1800000003,7970614.559999998,1
